cluster_id|numero de normas
1|13.0
2|4.0
3|1.0
4|1.0
5|2.0
6|2.0
7|2.0
8|2.0
9|3.0
10|1.0
11|2.0
12|2.0
13|1.0
14|3.0
15|20.0
16|1.0
17|2.0
18|48.0
19|2.0
20|29.0
21|1.0
22|1.0
23|3.0
24|1.0
25|7.0
26|4.0
27|2.0
28|2.0
29|1.0
30|3.0
31|2.0
32|4.0
33|5.0
34|3.0
35|120.0
36|50.0
37|1.0
38|11.0
39|6.0
40|4.0
41|3.0
42|11.0
43|24.0
44|43.0
45|8.0
46|6.0
47|16.0
48|6.0
49|29.0
50|25.0
51|13.0
52|36.0
53|268.0
54|1.0
55|1.0
56|1.0
57|1.0
58|1.0
