cluster_id|norma
109|RDC 183/2006
115|RDC 184/2001
120|RDC 184/2017
115|RDC 185/2001
106|RDC 185/2003
103|RDC 185/2006
95|RDC 185/2017
120|RDC 187/2017
143|RDC 18/1999
123|RDC 18/2000
74|RDC 18/2001
147|RDC 18/2007
74|RDC 18/2008
74|RDC 18/2010
110|RDC 18/2014
111|RDC 195/2017
147|RDC 196/2017
147|RDC 197/2003
118|RDC 197/2004
120|RDC 198/2002
147|RDC 198/2003
103|RDC 199/2004
109|RDC 199/2005
120|RDC 199/2006
61|RDC 19/1999
110|RDC 19/2002
154|RDC 19/2005
147|RDC 19/2006
95|RDC 19/2007
145|RDC 19/2014
145|RDC 19/2015
157|RDC 200/2002
120|RDC 200/2017
67|RDC 201/2005
145|RDC 201/2017
123|RDC 204/2006
74|RDC 205/2006
115|RDC 206/2006
147|RDC 207/2003
162|RDC 207/2018
146|RDC 208/2006
110|RDC 208/2018
120|RDC 209/2005
146|RDC 209/2006
147|RDC 209/2018
24|RDC 20/1999
73|RDC 20/2007
66|RDC 20/2008
147|RDC 20/2010
82|RDC 20/2011
105|RDC 20/2013
123|RDC 210/2003
120|RDC 210/2004
145|RDC 210/2006
162|RDC 210/2018
145|RDC 211/2006
147|RDC 211/2018
146|RDC 212/2006
97|RDC 212/2018
147|RDC 213/2001
122|RDC 213/2002
110|RDC 214/2002
123|RDC 214/2018
115|RDC 215/2005
162|RDC 215/2018
109|RDC 216/2002
147|RDC 216/2018
106|RDC 217/2001
74|RDC 217/2005
110|RDC 217/2006
147|RDC 217/2018
162|RDC 218/2018
118|RDC 219/2004
120|RDC 219/2018
147|RDC 21/1999
74|RDC 21/2007
106|RDC 21/2008
74|RDC 21/2015
147|RDC 220/2018
109|RDC 221/2001
69|RDC 221/2002
95|RDC 221/2018
24|RDC 222/2001
71|RDC 222/2002
106|RDC 222/2006
107|RDC 222/2018
162|RDC 223/2018
146|RDC 225/2018
111|RDC 226/2018
74|RDC 227/2003
85|RDC 227/2018
74|RDC 228/2003
110|RDC 228/2018
74|RDC 229/2003
147|RDC 229/2018
74|RDC 22/2000
74|RDC 22/2007
145|RDC 22/2008
145|RDC 230/2018
147|RDC 231/2018
120|RDC 232/2018
74|RDC 233/2001
147|RDC 233/2002
109|RDC 233/2018
74|RDC 234/2002
120|RDC 234/2005
109|RDC 234/2018
147|RDC 235/2001
145|RDC 235/2005
120|RDC 235/2018
106|RDC 236/2001
147|RDC 236/2018
147|RDC 237/2001
45|RDC 237/2002
105|RDC 237/2003
115|RDC 237/2018
109|RDC 238/2001
120|RDC 238/2003
120|RDC 238/2018
81|RDC 239/2002
74|RDC 239/2018
120|RDC 23/1999
74|RDC 23/2000
74|RDC 23/2007
147|RDC 23/2008
120|RDC 23/2009
100|RDC 23/2014
74|RDC 240/2018
157|RDC 241/2003
120|RDC 241/2018
134|RDC 242/2018
50|RDC 243/2003
74|RDC 243/2018
54|RDC 245/2003
74|RDC 248/2005
123|RDC 249/2005
74|RDC 24/2001
74|RDC 24/2005
74|RDC 24/2007
147|RDC 24/2008
115|RDC 24/2009
120|RDC 24/2011
120|RDC 24/2013
100|RDC 24/2014
120|RDC 24/2015
138|RDC 250/2002
122|RDC 251/2002
91|RDC 253/2003
120|RDC 254/2002
115|RDC 255/2005
115|RDC 256/2005
74|RDC 259/2002
147|RDC 25/1999
74|RDC 25/2005
74|RDC 25/2006
109|RDC 25/2007
147|RDC 25/2009
147|RDC 25/2010
105|RDC 25/2011
120|RDC 25/2013
100|RDC 25/2014
115|RDC 260/2002
120|RDC 260/2005
112|RDC 267/2005
145|RDC 268/2003
9|RDC 269/2005
118|RDC 26/1999
120|RDC 26/2007
74|RDC 26/2009
